name,label,n_nodes,n_edges,n_components,cyclomatic_number,cyclomatic_normalized,n_junctions,n_endpoints,junction_ratio,graph_density,avg_degree,degree_entropy,p_deg2,p_deg3,p_deg4,assortativity,avg_clustering,mean_edge_length,std_edge_length,max_edge_length,mean_euclidean_ratio,largest_component_ratio,n_h1_features,max_h1_persistence,mean_h1_persistence,total_h1_persistence,h1_persistence_entropy,n_h1_significant
retinal_Test_Image_03L_CHASE,retinal,382,543,2,163,0.3001841620626151,319,63,0.8350785340314136,0.007461763614626706,2.842931937172775,0.9481510351908,0.005235602094240838,0.6780104712041884,0.12827225130890052,0.19530141589362165,0.3029668411867365,24.103130755064456,53.50751181627936,375,0.919294788371822,0.9947643979057592,40.0,78.16109466552734,15.946338635683059,637.8535454273224,2.9929645366350695,21.0
retinal_Test_Image_03R_CHASE,retinal,324,441,2,119,0.2698412698412698,263,61,0.8117283950617284,0.008427932576539388,2.7222222222222223,0.8316400840610955,0.006172839506172839,0.7006172839506173,0.10493827160493827,-0.0784434179592904,0.2932098765432099,25.941043083900226,52.95239095409681,383,0.9298206641991726,0.9938271604938271,22.0,97.00675964355469,25.030518119985405,550.671398639679,2.6199187773811023,16.0
retinal_Training_01_dr_HRF,retinal,1525,1302,467,244,0.18740399385560677,484,1041,0.3173770491803279,0.0011204337162772687,1.7075409836065574,0.8300572621357889,0.002622950819672131,0.24918032786885247,0.05639344262295082,0.7433335102470984,0.11488524590163934,10.280337941628265,23.966064664282168,234,0.9873979677084188,0.3744262295081967,50.0,50.14472198486328,12.899692726135253,644.9846363067627,3.4339628435805665,28.0
retinal_Training_01_g_HRF,retinal,2645,2413,734,502,0.20803978450062163,973,1672,0.36786389413988657,0.0006900811910692683,1.8245746691871456,0.8908368453940609,0.0011342155009451795,0.2899810964083176,0.06465028355387524,0.7015472740165275,0.1383994959042218,7.646083713220058,16.557222923957447,136,0.9842783463336009,0.4238185255198488,76.0,53.090694427490234,13.153850342098035,999.6926259994507,3.8710354858382177,48.0
retinal_Training_01_h_HRF,retinal,1753,2308,92,647,0.2803292894280763,1284,469,0.7324586423274386,0.0015029681667695562,2.6332002281802622,1.0180319795037116,0.0005704506560182544,0.587564175698802,0.12492869366799772,0.32254901418678966,0.2729579224730394,9.912478336221836,18.200147606195735,132,0.9288230520313308,0.8796349115801483,78.0,73.73943710327148,12.192509284386269,951.0157241821289,3.8572653110393613,40.0
retinal_Training_02_dr_HRF,retinal,2023,1823,561,361,0.19802523313219966,739,1284,0.3652990608007909,0.000891332270384153,1.8022738507167573,0.87974971389358,0.004943153732081068,0.28818586258032625,0.06772120612951063,0.7161788144560152,0.13206459054209918,9.529347229840921,20.170830760328716,180,0.9821441922995703,0.4058329214038557,79.0,56.122100830078125,9.493090472643889,749.9541473388672,3.8114983226742223,41.0
retinal_Training_02_g_HRF,retinal,3053,2823,819,589,0.20864328728303225,1153,1900,0.3776613167376351,0.0006059398850967979,1.8493285293154273,0.8997184085702721,0.00032754667540124465,0.2961021945627252,0.06911234850966262,0.6939787492037668,0.14039742329948685,7.1799504073680485,14.96538200607298,146,0.9776280525109666,0.4467736652472977,98.0,61.14278030395508,9.78868190609679,959.2908267974854,4.045020082009636,48.0
retinal_Training_02_h_HRF,retinal,1629,2318,36,725,0.3127696289905091,1330,299,0.8164518109269491,0.001748106720482411,2.845917740945365,0.9927771978372117,0.0,0.627378759975445,0.1663597298956415,0.201773674966716,0.3092285655821567,9.040120793787748,18.704450209009135,147,0.9182588994024949,0.9478207489257213,68.0,61.503387451171875,12.29002688386861,835.7218281030655,3.7092708214750205,39.0
retinal_Training_03_dr_HRF,retinal,1845,1636,526,317,0.19376528117359412,653,1192,0.35392953929539295,0.0009617362984909675,1.773441734417344,0.8453493980043422,0.002168021680216802,0.28888888888888886,0.05799457994579946,0.7169825500554013,0.12988256549232158,9.297066014669927,21.13305771323794,221,0.9901379808560644,0.4184281842818428,73.0,52.491172790527344,10.249193544257176,748.1911287307739,3.731586568503184,36.0
retinal_Training_03_g_HRF,retinal,1751,1731,424,404,0.23339110340843444,756,995,0.431753283837807,0.0011298033776617443,1.9771559109080525,0.9654803839852162,0.001142204454597373,0.32667047401484867,0.09423186750428326,0.6865984175234907,0.15893774985722445,9.056036972848064,21.54834909204205,239,0.9642617248870136,0.5071387778412336,60.0,65.29936981201172,13.399548657735188,803.9729194641113,3.5592947711711784,36.0
retinal_Training_03_h_HRF,retinal,1520,2110,12,602,0.2853080568720379,1223,297,0.8046052631578947,0.0018277259970202002,2.776315789473684,0.9350361039512879,0.0,0.6532894736842105,0.1368421052631579,0.08920433066206715,0.29791666666666666,9.932227488151659,18.884072735910774,153,0.9253951398796616,0.9743421052631579,75.0,50.69571304321289,12.003805236816406,900.2853927612305,3.872025956461747,47.0
retinal_Training_04_dr_HRF,retinal,1827,1622,517,312,0.19235511713933415,644,1183,0.3524904214559387,0.0009723923309299296,1.7755883962780514,0.8374633493995107,0.0,0.2884510125889436,0.05856595511767926,0.7053127397865795,0.12984856777960224,8.81750924784217,19.56795964949444,166,0.9837221257796718,0.4302134646962233,65.0,46.860313415527344,12.223641872406006,794.5367217063904,3.718956482322172,39.0
retinal_Training_04_g_HRF,retinal,2093,2128,464,499,0.23449248120300753,961,1132,0.45914954610606784,0.0009720099503123861,2.0334448160535117,0.9818756513910806,0.0009555661729574773,0.356426182513139,0.08791208791208792,0.6455601531127759,0.17200191113234592,8.349624060150376,18.233782057745067,190,0.9715992870486627,0.5547061634018156,75.0,63.308616638183594,11.713167877197266,878.4875907897949,3.7789987944088135,43.0
retinal_Training_04_h_HRF,retinal,1456,2006,32,582,0.2901296111665005,1159,297,0.7960164835164835,0.0018938106566972546,2.7554945054945055,0.9472983046651102,0.0013736263736263737,0.6414835164835165,0.14285714285714285,0.13949955408159398,0.296474358974359,10.010967098703889,19.520086527160444,192,0.9236468575366228,0.9361263736263736,72.0,84.97664260864258,12.558395293023851,904.2044610977173,3.755152700095789,33.0
retinal_Training_05_dr_HRF,retinal,2221,2053,599,431,0.20993667803214808,839,1382,0.37775776677172446,0.0008327553127192929,1.8487167942368303,0.9081701859606083,0.0018009905447996398,0.29221071589374153,0.07339036470058533,0.6973056039680816,0.14124268347591173,8.522162688748173,18.930979844045478,225,0.9862577026432232,0.444844664565511,68.0,79.87991333007812,14.576385862687054,991.1942386627197,3.725953689283069,35.0
retinal_Training_05_g_HRF,retinal,2043,2011,480,448,0.2227747389358528,887,1156,0.43416544297601567,0.0009640908517797807,1.9686735193343123,0.9377378307523555,0.0009789525208027412,0.3352912383749388,0.09446891825746451,0.6483860823133523,0.16268559308206887,8.622575832918946,17.891136279261183,166,0.9657125464584069,0.521781693587861,74.0,54.21748352050781,12.400901153280929,917.6666853427887,3.7220453366758064,39.0
retinal_Training_05_h_HRF,retinal,1328,1926,7,605,0.31412253374870197,1124,204,0.8463855421686747,0.002185834521204638,2.9006024096385543,0.9454550363500239,0.0,0.6618975903614458,0.16340361445783133,0.11687078911679201,0.3140813253012048,10.116822429906541,22.22569863069943,213,0.9167772972128881,0.9909638554216867,53.0,61.731178283691406,12.528315957987084,664.0007457733154,3.6103284260662516,35.0
retinal_Training_06_dr_HRF,retinal,3272,3409,680,817,0.2396597242593136,1573,1699,0.48074572127139364,0.0006370348001515878,2.0837408312958434,0.9922129033886723,0.0,0.37316625916870416,0.09352078239608802,0.6114206365124571,0.17962510187449063,6.967145790554415,14.555971420616775,131,0.9651727735667004,0.5498166259168704,88.0,75.55427551269531,11.006209312514825,968.5464195013046,3.9045729568804886,37.0
retinal_Training_06_g_HRF,retinal,2145,2200,466,521,0.23681818181818182,1008,1137,0.4699300699300699,0.0009567546880979717,2.051282051282051,0.9709267689078503,0.0004662004662004662,0.365034965034965,0.0979020979020979,0.6365761919284348,0.17567987567987567,8.242272727272727,16.576679520507714,127,0.9616688110031247,0.5538461538461539,73.0,59.59833526611328,12.73019639106646,929.3043365478516,3.7408331237203654,38.0
retinal_Training_06_h_HRF,retinal,1836,2540,48,752,0.29606299212598425,1459,377,0.7946623093681917,0.0015078389817931412,2.766884531590414,0.9600731354690477,0.0,0.630718954248366,0.1508714596949891,0.17022504060368862,0.2941358024691358,9.405905511811024,18.53541525480984,166,0.9254291509455996,0.9422657952069716,74.0,62.81904602050781,8.946461948188576,662.0381841659546,3.655010174080544,28.0
retinal_Training_07_dr_HRF,retinal,2174,2279,457,562,0.24659938569548048,1049,1125,0.4825206991720331,0.0009648394552022797,2.0965961361545538,1.0258112786457692,0.0022999080036798527,0.3656853725850966,0.09751609935602576,0.6349041593235617,0.17680159460288256,8.803861342694164,19.43783563454049,199,0.9607802910825046,0.5386384544618216,76.0,63.67829132080078,12.89314477694662,979.8790030479431,3.6843083698324324,39.0
retinal_Training_07_g_HRF,retinal,2414,2313,588,487,0.21054907047124946,999,1415,0.4138359569179785,0.00079416554420254,1.916321458160729,0.9209133838267036,0.002071251035625518,0.3260149130074565,0.0807787903893952,0.6685059118595483,0.1500690417011875,8.246433203631646,15.840312245460698,127,0.970619634437908,0.49461474730737365,84.0,59.314170837402344,12.50857957204183,1050.7206840515137,3.9549917559133854,47.0
retinal_Training_07_h_HRF,retinal,1212,1646,36,470,0.28554070473876064,946,266,0.7805280528052805,0.002242916281719006,2.716171617161716,0.9431039548321946,0.0,0.6460396039603961,0.1188118811881188,0.25085571655110805,0.2844334433443344,11.775212636695018,23.143102138544993,290,0.926825330722967,0.9331683168316832,75.0,70.80019760131836,12.837803916931152,962.8352937698364,3.850964313646574,42.0
retinal_Training_08_dr_HRF,retinal,2309,2348,519,558,0.23764906303236796,1062,1247,0.4599393676916414,0.0008811875465832216,2.0337808575140754,0.9835124186995686,0.0017323516673884798,0.35210047639670855,0.09484625378951927,0.6670930147803996,0.16949617439006787,8.468909710391824,19.217294285696344,204,0.9636804330378047,0.5400606323083585,63.0,62.33792495727539,13.767911479586648,867.3784232139587,3.638214791524712,36.0
retinal_Training_08_g_HRF,retinal,2814,2858,638,682,0.23862841147655703,1280,1534,0.4548685145700071,0.0007221017456013821,2.031272210376688,0.9910230134028842,0.0014214641080312722,0.34328358208955223,0.0984363894811656,0.6642085364942478,0.1697346600331675,7.2382785164450665,14.403350976762226,187,0.9670410561900339,0.5337597725657427,78.0,71.05915069580078,13.432038478362255,1047.6990013122559,3.9090087986308504,48.0
retinal_Training_08_h_HRF,retinal,1566,2132,41,607,0.2847091932457786,1226,340,0.7828863346104725,0.0017398471513267151,2.7228607918263092,0.9421046172514281,0.0,0.6392081736909323,0.13154533844189017,0.161823755435415,0.2875266070668369,10.24624765478424,19.732138240467467,168,0.9233826709769186,0.9310344827586207,83.0,64.7562141418457,12.860355984733765,1067.4095467329025,3.900610666539539,44.0
retinal_Training_09_dr_HRF,retinal,1850,2058,339,547,0.2657920310981535,998,852,0.5394594594594595,0.0012032800783476824,2.224864864864865,1.0527254630100114,0.002162162162162162,0.40540540540540543,0.11567567567567567,0.6143337809288646,0.20225225225225224,8.613216715257531,20.572422034133652,205,0.9605372895842853,0.6297297297297297,72.0,70.29354858398438,9.118764999839994,656.5510799884796,3.59313669197653,27.0
retinal_Training_09_g_HRF,retinal,2518,2601,534,617,0.2372164552095348,1197,1321,0.47537728355837966,0.0008207887713823995,2.0659253375694995,1.0027667360070698,0.003177124702144559,0.36497220015885623,0.09531374106433678,0.6255990211739115,0.17695260788985967,7.813917723952326,15.262082288401176,170,0.9621047850160637,0.562748212867355,87.0,51.18079376220703,12.422106600355828,1080.723274230957,4.0607452117026686,54.0
retinal_Training_09_h_HRF,retinal,1532,2095,63,626,0.29880668257756565,1179,353,0.7695822454308094,0.00178640558143025,2.734986945169713,1.0313064969456471,0.0013054830287206266,0.5946475195822454,0.1514360313315927,0.24270735222323433,0.2859225413402959,9.473031026252983,18.220739137778164,180,0.9244136004783144,0.9138381201044387,70.0,60.60668182373047,10.51384266444615,735.9689865112305,3.7186720810896827,36.0
retinal_Training_10_dr_HRF,retinal,2094,2520,246,672,0.26666666666666666,1319,775,0.6298949379178606,0.0011499650218972507,2.4068767908309456,1.040914280164598,0.0014326647564469914,0.4933142311365807,0.12225405921680993,0.4717768547014157,0.23595988538681947,9.028571428571428,18.494593191640174,192,0.9438391917945312,0.7636103151862464,80.0,69.34722900390625,12.133208015561104,970.6566412448883,3.860442671276199,42.0
retinal_Training_10_g_HRF,retinal,2313,2286,518,491,0.21478565179352582,1030,1283,0.4453091223519239,0.0008549540209766671,1.9766536964980546,0.9257130510498741,0.0008646779074794639,0.36359706009511455,0.07479463899697363,0.627706610830249,0.16253062400922325,8.664916885389326,16.255900420582847,170,0.9774673656184757,0.5378296584522265,83.0,56.02311706542969,11.206502569727151,930.1397132873535,3.910685914985575,49.0
retinal_Training_10_h_HRF,retinal,1840,2511,67,738,0.2939068100358423,1409,431,0.7657608695652174,0.0014841478119015533,2.7293478260869564,1.027353937501431,0.0,0.592391304347826,0.15054347826086956,0.23842080241910413,0.28639492753623186,8.937076861808045,16.88002099462671,180,0.9228645765728007,0.9065217391304348,72.0,66.99760818481445,14.677978449397617,1056.8144483566284,3.8366061428255294,43.0
retinal_Training_11_dr_HRF,retinal,2529,2882,400,753,0.26127689104788343,1422,1107,0.5622775800711743,0.0009015671376588535,2.2791617240015816,1.0688423933603164,0.0015816528272044287,0.4294187425860024,0.10834321866350335,0.5606503231188028,0.21062908358282023,8.033657182512144,15.753630330244214,152,0.9497393518582659,0.35191775405298537,88.0,67.56732177734375,12.544015461748296,1103.87336063385,3.9786923650873565,50.0
retinal_Training_11_g_HRF,retinal,2634,2844,504,714,0.2510548523206751,1346,1288,0.5110098709187547,0.0008201493744630746,2.1594533029612757,1.0352520864826675,0.0011389521640091116,0.3925588458618071,0.09870918754745633,0.6306232918864844,0.1905141555483241,7.621659634317862,15.756976730019238,153,0.9589401597708334,0.6085801063022019,87.0,53.50174331665039,10.564898874567843,919.1462020874023,3.9533880638080907,49.0
retinal_Training_11_h_HRF,retinal,1258,1645,44,431,0.2620060790273556,948,310,0.753577106518283,0.0020805587280387223,2.615262321144674,0.8894603716869179,0.001589825119236884,0.6454689984101749,0.1041335453100159,0.11544924843224508,0.2714361420243773,11.578115501519758,21.17536005956718,186,0.9394757668722423,0.9284578696343402,70.0,80.17436218261719,12.762893077305385,893.402515411377,3.7574461912013186,36.0
retinal_Training_12_dr_HRF,retinal,2679,2786,572,679,0.24371859296482412,1271,1408,0.4744307577454274,0.0007766544258569612,2.079880552444942,1.003639819688622,0.0,0.36058230683090703,0.09779768570362075,0.6393953703360132,0.17606071917382107,7.2537688442211055,15.415187053608902,154,0.9702616780352015,0.5505785740948115,77.0,63.14082717895508,11.254803607990215,866.6198778152466,3.689695267024876,34.0
retinal_Training_12_g_HRF,retinal,3054,3435,481,862,0.2509461426491994,1703,1351,0.5576293385723641,0.0007368191421108549,2.24950884086444,1.0256858701509566,0.0003274394237066143,0.43745907007203666,0.10641781270464964,0.5451219372586461,0.20744378956559703,7.121106259097526,13.025868560682591,124,0.9526838209015441,0.6722331368696791,96.0,63.365848541259766,12.125764697790146,1164.073410987854,4.02546148025977,49.0
retinal_Training_12_h_HRF,retinal,1423,1886,47,510,0.2704135737009544,1082,341,0.7603654251581167,0.0018640913345450915,2.6507378777231203,0.9256326330657406,0.0014054813773717498,0.6338721011946592,0.11876317638791287,0.11983210792734535,0.27947997189037244,10.8016967126193,20.460419262567996,165,0.9350690684558235,0.5151089248067463,77.0,51.4081916809082,11.997742467112355,923.8261699676514,3.840670338691668,48.0
retinal_Training_Image_04L_CHASE,retinal,267,370,2,105,0.28378378378378377,218,49,0.8164794007490637,0.010419306693700543,2.7715355805243447,0.9447595268333207,0.011235955056179775,0.6666666666666666,0.12734082397003746,0.098790405812654,0.30923845193508115,26.94864864864865,55.81736686838421,353,0.938390121126816,0.9925093632958801,20.0,116.97457885742188,24.02432006597519,480.4864013195038,2.1946540310806553,9.0
retinal_Training_Image_04R_CHASE,retinal,329,466,5,142,0.30472103004291845,270,59,0.8206686930091185,0.0086366669137816,2.8328267477203646,0.9586885486656309,0.00303951367781155,0.6291793313069909,0.182370820668693,0.13073216228820408,0.31793313069908813,22.51931330472103,50.44110844328936,336,0.9229555858747731,0.9756838905775076,23.0,88.41822814941406,18.81082186491593,432.6489028930664,2.535152099953817,13.0
retinal_Training_Image_05L_CHASE,retinal,297,417,1,121,0.290167865707434,248,49,0.835016835016835,0.009486759486759486,2.808080808080808,0.8708435607257751,0.006734006734006734,0.6835016835016835,0.1447811447811448,-0.016047264105216383,0.30527497194163855,25.85611510791367,61.05867302303967,416,0.9248609766475044,1.0,19.0,142.36582946777344,21.788254317484405,413.9768320322037,1.9433515374178063,6.0
retinal_Training_Image_05R_CHASE,retinal,360,509,2,151,0.2966601178781925,297,63,0.825,0.007876818322500773,2.827777777777778,0.9225755976359366,0.0,0.6611111111111111,0.15,0.07789855072463567,0.30268518518518517,23.976424361493123,53.95544471074135,383,0.9203347271518275,0.9944444444444445,31.0,127.71273803710938,19.821513841229102,614.4669290781021,2.5998185718423468,12.0
retinal_Training_Image_06L_CHASE,retinal,318,453,2,137,0.30242825607064017,260,58,0.8176100628930818,0.008987560264269985,2.849056603773585,1.0409788967071802,0.006289308176100629,0.6289308176100629,0.1540880503144654,0.1930633415413624,0.3052410901467505,24.11479028697572,53.93050124438275,426,0.9171106828163222,0.9937106918238994,37.0,119.92984008789062,18.95124905173843,701.1962149143219,2.7526888415002517,14.0
retinal_Training_Image_06R_CHASE,retinal,345,474,3,132,0.27848101265822783,278,67,0.8057971014492754,0.007987866531850353,2.747826086956522,0.8584144636687459,0.0,0.6695652173913044,0.13623188405797101,-0.03770157346077547,0.2990338164251207,25.21097046413502,49.841243807616465,286,0.9281186445823865,0.9884057971014493,27.0,90.61730194091797,19.721824023458694,532.4892486333847,2.759224366317101,16.0
retinal_Training_Image_07L_CHASE,retinal,355,477,6,128,0.26834381551362685,284,71,0.8,0.0075913105753163046,2.687323943661972,0.7761983098781325,0.0,0.7126760563380282,0.08732394366197183,0.048227344256220446,0.28826291079812205,25.78406708595388,50.86144204623728,353,0.9210456645461443,0.971830985915493,32.0,91.91179656982422,21.774194169789553,696.7742134332657,2.922552886185244,17.0
retinal_Training_Image_07R_CHASE,retinal,392,547,4,159,0.2906764168190128,314,78,0.8010204081632653,0.007137637663761157,2.7908163265306123,0.9783348615543035,0.0,0.6377551020408163,0.14030612244897958,0.1579075302577621,0.285969387755102,21.380255941499087,41.687680650681614,294,0.9236145387001686,0.7091836734693877,42.0,102.565185546875,15.621296857084547,656.094467997551,3.1029200388372056,18.0
retinal_Training_Image_08L_CHASE,retinal,332,467,3,138,0.2955032119914347,278,54,0.8373493975903614,0.00849925381283442,2.8132530120481927,0.8292270108210591,0.0,0.7018072289156626,0.13253012048192772,-0.0012674137366540917,0.31064257028112446,22.312633832976445,47.57350574136101,397,0.9123332490242324,0.9879518072289156,29.0,131.2135467529297,20.599224538638673,597.3775116205215,2.637045809005172,11.0
retinal_Training_Image_08R_CHASE,retinal,234,299,11,76,0.25418060200668896,170,64,0.7264957264957265,0.010968049594659036,2.5555555555555554,0.8824648075252792,0.0,0.6239316239316239,0.10256410256410256,0.12643217231897405,0.2606837606837607,31.74916387959866,58.484602990242834,315,0.9180364321946042,0.8632478632478633,17.0,136.03473663330078,25.997175328871784,441.9519805908203,2.137928092656261,9.0
retinal_Training_Image_09L_CHASE,retinal,216,302,1,87,0.28807947019867547,181,35,0.8379629629629629,0.013006029285099053,2.7962962962962963,0.8107494852862034,0.0,0.7037037037037037,0.12962962962962962,-0.07360936846508397,0.30787037037037035,27.572847682119207,60.14177227755604,419,0.9192806754253305,1.0,18.0,67.233642578125,15.123800489637587,272.22840881347656,2.1936719953719135,8.0
retinal_Training_Image_09R_CHASE,retinal,242,341,3,102,0.2991202346041056,201,41,0.8305785123966942,0.011693700490380989,2.8181818181818183,0.9164369152730456,0.004132231404958678,0.6859504132231405,0.11983471074380166,0.07024428684003282,0.30812672176308536,26.475073313782993,60.24605067605738,392,0.9306389006604612,0.9628099173553719,18.0,87.61738586425781,13.350761771202087,240.31371188163757,1.934337727995981,7.0
retinal_Training_Image_10L_CHASE,retinal,375,513,4,142,0.27680311890838205,297,78,0.792,0.007315508021390374,2.736,0.908092226928219,0.0,0.6426666666666667,0.14666666666666667,-0.02073898687053602,0.29146666666666665,22.224171539961013,41.672238698140795,249,0.9169117526673842,0.9626666666666667,42.0,99.2425308227539,15.662405649820963,657.8210372924805,3.2089279352056264,19.0
retinal_Training_Image_10R_CHASE,retinal,435,626,2,193,0.3083067092651757,359,76,0.825287356321839,0.006631707187880714,2.87816091954023,1.0050816147469737,0.0,0.6298850574712643,0.17011494252873563,0.12353257942918668,0.3144061302681992,19.249201277955272,43.854594270830596,423,0.9111217393763265,0.9954022988505747,40.0,80.87043762207031,14.693254381418228,587.7301752567291,2.876447181517338,15.0
retinal_Training_Image_11L_CHASE,retinal,249,345,2,98,0.28405797101449276,202,47,0.8112449799196787,0.011173727166731443,2.7710843373493974,0.8946518662510343,0.0,0.6827309236947792,0.10843373493975904,0.05143714888684221,0.2937081659973226,27.23768115942029,52.30840845048699,268,0.9090104899948078,0.9919678714859438,18.0,102.43733978271484,29.56523750887977,532.1742751598358,2.4362241853479496,12.0
retinal_Training_Image_11R_CHASE,retinal,220,309,1,90,0.2912621359223301,183,37,0.8318181818181818,0.012826899128268992,2.809090909090909,0.8385513326410837,0.0,0.6863636363636364,0.14545454545454545,0.019468899864006836,0.29696969696969694,28.009708737864077,53.99865067455342,371,0.9162377877746957,1.0,17.0,62.62580871582031,25.440963296329272,432.49637603759766,2.556849943765784,14.0
retinal_Training_Image_12L_CHASE,retinal,319,442,2,125,0.2828054298642534,265,54,0.8307210031347962,0.008714339228327516,2.7711598746081503,0.7871711053760704,0.0,0.7241379310344828,0.10344827586206896,-0.0417453324942311,0.30449320794148377,25.979638009049772,55.83437078498275,368,0.9225255922877742,0.9937304075235109,21.0,78.27181243896484,26.97779065086728,566.5336036682129,2.664606041776931,14.0
